// Description of how to configure properties.
//  EwsEditor will read in a csv file such as this in order to import extended properties.  The form for this CSV is not conventional as
//  it allows blank lines and comments (lines starting with "//".
//  Lines starting with a two forward slashes (//) or are blank are ignored 
// The first non-ignored line needs to be the header
 
// Columns:
//		DescPropertyName:
//			This will be used as the description of the data.  This is the user readable value.
//		ProbablePropertyName:
//				This is the name of the property or what you think it is.  This is informational only.
//		PropertySetId:
//			This is the property set guid. You can use Property set names such as PSETID_Meeting - EWS will swap it for 
//			the GUID at run time. If you don't need the GUID for the property then just enter "" for the value.
//
//				Area Name			Property Set Name			GUID
//				Common				PS_PUBLIC_STRINGS	 		00020329-0000-0000-C000-000000000046 
//				Common				PSETID_Common				00062008-0000-0000-C000-000000000046
//				Contact				PSETID_Address				00062004-0000-0000-C000-000000000046
//				Email				PS_INTERNET_HEADERS			00020386-0000-0000-C000-000000000046
//
//				Calendar			PSETID_Appointment			00062002-0000-0000-C000-000000000046
//				Calendar			PSETID_Meeting				6ED8DA90-450B-101B-98DA-00AA003F1305
//				Journal				PSETID_Log					0006200A-0000-0000-C000-000000000046
//				Messaging			PSETID_Messaging			41F28F13-83F4-4114-A584-EEDB5A6B0BFF
//
//				Sticky note			PSETID_Note					0006200E-0000-0000-C000-000000000046
//				RSS feed			PSETID_PostRss				00062041-0000-0000-C000-000000000046
//				Task				PSETID_Task					00062003-0000-0000-C000-000000000046
//				Unified messaging	PSETID_UnifiedMessaging		4442858E-A9E3-4E80-B900-317A210CC15B 
//
//				Common				PS_MAPI						00020328-0000-0000-C000-000000000046
//				Sync				PSETID_AirSync				71035549-0739-4DCB-9163-00F0580DBBDF
//				Sharing				PSETID_Sharing				00062040-0000-0000-C000-000000000046
//				Extracted entities	PSETID_XmlExtractedEntities	23239608-685D-4732-9C55-4C95CB4E8E33 
//
//				Calendar Assistant?	PSETID_CalendarAssistant	11000E07-B51B-40D6-AF21-CAA85EDAB1D0
//
//		PropertyDefinitionType
//		
//		PropertyType:
//		 	 	
//				SystemTime	 	
//				String		 	
//				Integer
//				Long
//				Boolean		 		
//				Binary,
//				Short			
//
//		PropertyId:
//			If you prefix a property id with "0x" (upper or lower case) then the value is handled as a hex value.  Without this prefix the 
//			value is treated as a decimal value.  A tag with the type included is not supported in EWS Editor yet - types and Id values need to be 
//          sepertate values.
//
//
 	
 
"DescPropertyName",							"ProbablePropertyName",					"PropertySetId",			"PropertyId",		"PropertyType" 


PidNameCalendarExceptionRule,					PidNameCalendarExceptionRule,				PS_PUBLIC_STRINGS,				urn:schemas:calendar:exrule,			StringArray                    
PidNameCalendarGeoLatitude,					PidNameCalendarGeoLatitude,					PS_PUBLIC_STRINGS,				urn:schemas:calendar:geolatitude,		Float,                        
PidNameCalendarGeoLongitude,					PidNameCalendarGeoLongitude,				PS_PUBLIC_STRINGS,				urn:schemas:calendar:geolongitude,		Float,                        
PidNameCalendarInstanceType,					PidNameCalendarInstanceType,				PS_PUBLIC_STRINGS,				urn:schemas:calendar:instancetype,		Integer                    
PidNameCalendarIsOrganizer,					PidNameCalendarIsOrganizer,					PS_PUBLIC_STRINGS,				urn:schemas:calendar:isorganizer,		Boolean                    
PidNameCalendarLastModified,					PidNameCalendarLastModified,				PS_PUBLIC_STRINGS,				urn:schemas:calendar:lastmodified,		SystemTime                    
PidNameCalendarLocationUrl,					PidNameCalendarLocationUrl,					PS_PUBLIC_STRINGS,				urn:schemas:calendar:locationurl,		String                    
PidNameCalendarMeetingStatus,					PidNameCalendarMeetingStatus,				PS_PUBLIC_STRINGS,				Urn:schemas:calendar:meetingstatus,    String                    
PidNameCalendarMethod,						PidNameCalendarMethod,						PS_PUBLIC_STRINGS,				urn:schemas:calendar:method,    String                    
PidNameCalendarProductId,						PidNameCalendarProductId,					PS_PUBLIC_STRINGS,				urn:schemas:calendar:prodid,    String                    
PidNameCalendarRecurrenceIdRange,				PidNameCalendarRecurrenceIdRange,			PS_PUBLIC_STRINGS,				urn:schemas:calendar:recurrenceidrange,    String                    
PidNameCalendarReminderOffset,				PidNameCalendarReminderOffset,				PS_PUBLIC_STRINGS,				urn:schemas:calendar:reminderoffset,									Integer                    
PidNameCalendarResources,						PidNameCalendarResources,					PS_PUBLIC_STRINGS,				urn:schemas:calendar:resources,											String                    

// above is a test
//"PidLidAddressBookProviderArrayType",		"PidLidAddressBookProviderArrayType,	"PSETID_Address",			"0x00008029",		Integer                    
//PidLidAddressBookProviderEmailList",		"PidLidAddressBookProviderEmailList,	"PSETID_Address",			"0x00008028",		IntegerArray                    
//"PidLidAddressCountryCode",				"PidLidAddressCountryCode,				"PSETID_Address",			"0x000080DD",		String                    
"PidLidAgingDontAgeMe",						"PidLidAgingDontAgeMe,					"PSETID_Common",			"0x0000850E",		Boolean                    
